Date,Open,High,Low,Close,Volume,Change
2018-07-18,242.83,249.02,240.05,249.02,626.0,2.0100000000000193
2018-07-19,244.84,244.84,241.13,241.75,96.0,-7.27000000000001
2018-07-22,240.2,240.2,234.64,234.79,196.0,-6.960000000000008
2018-07-23,234.94,236.34,234.94,236.34,272.0,1.5500000000000114
2018-07-24,240.2,248.4,240.05,242.99,432.0,6.650000000000006
2018-07-25,243.3,243.3,238.81,238.81,134.0,-4.180000000000007
2018-07-26,238.66,242.37,237.11,238.5,144.0,-0.3100000000000023
2018-07-29,235.56,235.56,235.56,235.56,12.0,-2.9399999999999977
2018-07-30,232.01,244.84,232.01,242.52,130.0,6.960000000000008
2018-07-31,242.52,242.52,235.72,239.74,139.0,-2.780000000000001
2018-08-02,235.72,235.72,234.64,234.94,466.0,-4.800000000000011
2018-08-05,230.92,231.85,230.92,231.85,376.0,-3.0900000000000034
2018-08-06,235.1,235.1,231.7,232.47,456.0,0.6200000000000045
2018-08-07,230.92,234.02,230.92,234.02,90.0,1.5500000000000114
2018-08-08,230.92,232.47,230.92,230.92,140.0,-3.1000000000000227
2018-08-09,227.06,227.06,226.75,222.88,63.0,-8.039999999999992
2018-08-12,228.45,228.45,218.71,218.71,304.0,-4.1699999999999875
2018-08-13,218.71,222.42,215.46,222.42,94.0,3.709999999999979
2018-08-15,226.13,229.07,222.42,229.07,194.0,6.650000000000006
2018-08-19,225.2,225.2,223.19,223.19,48.0,-5.8799999999999955
2018-08-20,219.48,220.1,219.48,220.1,36.0,-3.0900000000000034
2018-08-21,216.39,216.39,216.23,216.23,24.0,-3.870000000000005
2018-08-23,214.69,214.69,214.69,214.69,12.0,-1.539999999999992
2018-08-26,215.46,215.46,205.72,214.69,188.0,0.0
2018-08-29,211.29,212.37,207.73,209.28,436.0,-5.409999999999997
2018-08-30,208.5,208.5,208.5,208.5,10.0,-0.7800000000000011
2018-09-02,205.72,205.72,205.1,205.1,182.0,-3.4000000000000057
2018-09-03,203.09,209.89,203.09,207.73,618.0,2.6299999999999955
2018-09-04,207.73,207.73,207.73,207.73,12.0,0.0
