Date,Open,High,Low,Close,Volume,Change
2013-01-27,183.24,183.7,181.98,183.7,1580.0,0.45999999999997954
2013-01-28,183.7,184.27,182.1,183.7,2032.0,0.0
2013-01-30,183.7,183.82,180.84,181.41,6011.0,-2.289999999999992
2013-01-31,181.41,182.33,180.84,180.84,2399.0,-0.5699999999999932
2013-02-03,180.84,185.99,182.56,185.42,4537.0,4.579999999999984
2013-02-04,185.42,185.88,183.13,185.65,1449.0,0.2300000000000182
2013-02-05,185.65,185.99,183.13,183.7,2714.0,-1.950000000000017
2013-02-06,183.7,184.16,182.56,184.04,4577.0,0.3400000000000034
2013-02-07,184.04,184.39,183.13,183.82,1056.0,-0.21999999999999886
2013-02-10,183.82,193.09,187.36,189.42,4707.0,5.599999999999994
2013-02-12,189.42,198.58,193.2,198.01,5007.0,8.590000000000003
2013-02-13,198.01,197.89,192.51,195.83,5548.0,-2.1799999999999784
2013-02-14,195.83,200.87,198.81,200.18,5508.0,4.349999999999994
2013-02-17,200.18,220.1,204.07,216.32,3388.0,16.139999999999986
2013-02-19,216.32,228.91,213.12,213.57,11302.0,-2.75
2013-02-20,213.57,214.03,207.51,210.6,3753.0,-2.969999999999999
2013-02-21,210.6,216.78,208.31,211.74,4683.0,1.1400000000000148
2013-02-24,211.74,212.89,210.6,211.86,1719.0,0.12000000000000455
2013-02-25,211.86,223.19,211.74,215.75,2323.0,3.8899999999999864
2013-02-26,215.75,219.98,215.18,217.35,4719.0,1.5999999999999943
2013-02-27,217.35,214.6,213.12,214.03,1777.0,-3.319999999999993
2013-02-28,214.03,216.21,213.8,216.09,1426.0,2.0600000000000023
2013-03-03,216.09,216.21,214.15,215.98,3654.0,-0.11000000000001364
2013-03-04,215.98,215.86,214.6,215.18,2969.0,-0.799999999999983
2013-03-05,215.18,216.09,212.31,213.8,5639.0,-1.3799999999999955
2013-03-06,213.8,216.89,212.89,216.32,1309.0,2.519999999999982
2013-03-07,216.32,220.33,211.74,220.33,4043.0,4.010000000000019
2013-03-11,220.33,221.93,215.18,217.47,2354.0,-2.8600000000000136
2013-03-13,217.47,218.72,214.26,218.38,3412.0,0.9099999999999966
2013-03-14,218.38,228.68,217.47,219.87,2905.0,1.490000000000009
2013-03-17,219.87,219.3,217.47,217.92,2533.0,-1.950000000000017
