Date,Open,High,Low,Close,Volume
2012-01-01,35.02,33.9,33.9,33.9,2640.0
2012-01-12,33.9,35.02,35.02,35.02,82.0
2012-01-22,35.02,34.72,34.14,34.14,92.0
2012-02-05,34.14,35.6,33.84,35.6,428.0
2012-02-06,35.6,36.25,35.9,36.25,21.0
2012-02-07,36.25,36.6,36.6,36.6,10.0
2012-02-27,36.6,36.25,34.78,34.78,300.0
2012-02-28,34.78,35.07,34.49,35.07,51.0
2012-03-20,35.07,35.37,35.37,35.37,418.0
2012-03-21,35.37,35.07,34.2,34.2,80.0
2012-04-05,34.2,33.9,32.67,32.67,502.0
2012-04-08,32.67,32.44,32.2,32.2,60.0
2012-04-10,32.2,32.44,32.44,32.44,50.0
2012-04-11,32.44,32.44,32.44,32.44,50.0
2012-04-12,32.44,32.67,31.97,32.67,573.0
2012-04-15,32.67,32.91,32.91,32.91,200.0
2012-04-16,32.91,33.14,33.14,33.14,500.0
2012-04-17,33.14,33.43,33.43,33.43,10.0
2012-04-18,33.43,33.26,32.96,32.96,200.0
2012-04-19,32.96,32.67,32.67,32.67,203.0
2012-04-22,32.67,33.14,32.85,33.14,2271.0
2012-04-24,33.14,33.43,33.43,33.43,82.0
2012-04-25,33.43,34.61,33.73,34.61,120.0
2012-04-26,34.61,36.07,34.9,36.07,200.0
2012-04-29,36.07,37.13,36.42,37.13,40.0
2012-04-30,37.13,38.18,36.77,38.18,81.0
2012-05-03,38.18,38.53,38.53,38.53,50.0
2012-05-17,38.53,38.18,38.18,38.18,194.0
2012-06-28,38.18,37.83,37.83,37.83,153.0
2012-07-08,37.83,37.48,36.42,36.42,41.0
2012-07-18,36.42,36.07,36.07,36.07,100.0
2012-07-25,36.07,36.07,34.84,36.07,7903.0
2012-07-26,36.07,35.72,35.72,35.72,40.0
2012-08-06,35.72,35.43,34.55,34.55,307.0
2012-08-07,34.55,34.25,34.2,34.2,230.0
2012-08-08,34.2,34.37,32.96,33.9,3630.0
2012-08-12,33.9,33.67,33.67,33.67,41.0
2012-08-13,33.67,33.67,33.26,33.26,2268.0
2012-08-14,33.26,33.79,33.49,33.49,4038.0
2012-08-15,33.49,33.96,33.67,33.96,1110.0
2012-08-21,33.96,34.25,34.25,34.25,31.0
2012-08-22,34.25,34.72,34.43,34.43,494.0
2012-08-23,34.43,34.43,34.14,34.43,110.0
2012-08-26,34.43,34.72,34.72,34.72,20.0
2012-08-27,34.72,34.43,34.43,34.43,10.0
2012-08-28,34.43,34.14,34.14,34.14,300.0
2012-08-29,34.14,34.14,34.14,34.14,82.0
2012-08-30,34.14,34.14,34.14,34.14,50.0
2012-09-02,34.14,34.72,34.2,34.72,662.0
2012-09-03,34.72,34.55,34.49,34.55,123.0
2012-09-04,34.55,34.55,34.55,34.55,349.0
2012-09-05,34.55,34.72,34.43,34.72,550.0
2012-09-06,34.72,34.84,34.72,34.84,562.0
2012-09-09,34.84,35.02,35.02,35.02,113.0
2012-09-12,35.02,35.02,35.02,35.02,160.0
2012-09-13,35.02,35.37,35.07,35.37,714.0
2012-09-25,35.37,37.07,35.66,37.07,60.0
2012-09-26,37.07,38.12,36.72,36.83,1119.0
2012-09-27,36.83,36.72,36.54,36.54,205.0
2012-10-04,36.54,36.19,35.9,35.9,778.0
2012-10-07,35.9,35.9,35.25,35.31,3148.0
2012-10-08,35.31,35.54,35.02,35.31,3485.0
